* Freq(Hz)	SPL(dB)
117.199997	-2.697
118.000000	-2.750
120.599998	-2.931
122.000000	-3.026
124.099998	-3.152
125.000000	-3.197
126.500000	-3.260
128.000000	-3.314
131.500000	-3.422
132.000000	-3.435
134.000000	-3.483
136.000000	-3.527
138.000000	-3.572
140.000000	-3.626
143.000000	-3.723
145.000000	-3.792
147.500000	-3.875
150.000000	-3.955
152.500000	-4.031
155.000000	-4.103
157.500000	-4.172
160.000000	-4.236
162.500000	-4.296
165.000000	-4.347
167.500000	-4.382
170.000000	-4.403
172.500000	-4.418
175.000000	-4.438
177.500000	-4.469
180.000000	-4.506
182.500000	-4.544
185.000000	-4.580
187.500000	-4.610
190.000000	-4.630
192.500000	-4.638
195.000000	-4.639
197.500000	-4.640
200.000000	-4.646
203.000000	-4.663
206.000000	-4.688
209.000000	-4.714
212.000000	-4.736
214.000000	-4.746
218.000000	-4.749
220.000000	-4.744
224.000000	-4.731
227.000000	-4.726
230.000000	-4.730
233.000000	-4.742
236.000000	-4.754
240.000000	-4.759
243.000000	-4.753
247.000000	-4.735
250.000000	-4.722
254.000000	-4.712
258.000000	-4.715
262.000000	-4.719
265.000000	-4.714
269.000000	-4.697
272.000000	-4.680
276.000000	-4.660
280.000000	-4.650
285.000000	-4.646
290.000000	-4.633
295.000000	-4.607
300.000000	-4.580
304.000000	-4.558
307.000000	-4.542
311.000000	-4.519
315.000000	-4.496
320.000000	-4.472
325.000000	-4.457
330.000000	-4.441
335.000000	-4.417
340.000000	-4.389
345.000000	-4.362
350.000000	-4.336
355.000000	-4.308
360.000000	-4.280
365.000000	-4.251
370.000000	-4.223
375.000000	-4.197
382.000000	-4.164
387.000000	-4.142
395.000000	-4.105
400.000000	-4.075
406.000000	-4.031
412.000000	-3.986
418.000000	-3.948
425.000000	-3.910
431.000000	-3.875
437.000000	-3.836
444.000000	-3.785
450.000000	-3.741
455.000000	-3.706
462.000000	-3.658
468.000000	-3.617
475.000000	-3.568
482.000000	-3.520
487.000000	-3.486
494.000000	-3.440
500.000000	-3.402
508.000000	-3.357
515.000000	-3.317
522.000000	-3.277
530.000000	-3.227
538.000000	-3.169
545.000000	-3.116
552.000000	-3.063
560.000000	-3.003
570.000000	-2.932
580.000000	-2.873
590.000000	-2.820
600.000000	-2.765
608.000000	-2.714
615.000000	-2.663
622.000000	-2.614
630.000000	-2.563
640.000000	-2.512
650.000000	-2.473
660.000000	-2.436
670.000000	-2.398
680.000000	-2.362
690.000000	-2.340
700.000000	-2.324
710.000000	-2.306
720.000000	-2.284
730.000000	-2.262
740.000000	-2.249
750.000000	-2.257
762.000000	-2.288
775.000000	-2.330
788.000000	-2.360
800.000000	-2.374
812.000000	-2.386
825.000000	-2.415
838.000000	-2.462
850.000000	-2.514
862.000000	-2.565
875.000000	-2.619
885.000000	-2.660
900.000000	-2.723
912.000000	-2.771
925.000000	-2.822
938.000000	-2.873
950.000000	-2.919
962.000000	-2.960
975.000000	-2.995
988.000000	-3.020
1000.000000	-3.033
1015.000000	-3.036
1030.000000	-3.024
1044.000000	-3.006
1060.000000	-2.970
1075.000000	-2.923
1090.000000	-2.860
1106.000000	-2.778
1120.000000	-2.698
1138.000000	-2.582
1150.000000	-2.494
1172.000000	-2.312
1180.000000	-2.241
1206.000000	-2.006
1220.000000	-1.875
1241.000000	-1.662
1250.000000	-1.566
1265.000000	-1.399
1280.000000	-1.226
1315.000000	-0.830
1320.000000	-0.775
1340.000000	-0.562
1360.000000	-0.371
1380.000000	-0.202
1400.000000	-0.057
1430.000000	0.122
1450.000000	0.217
1475.000000	0.307
1500.000000	0.372
1525.000000	0.417
1550.000000	0.456
1575.000000	0.496
1600.000000	0.542
1625.000000	0.598
1650.000000	0.671
1675.000000	0.766
1700.000000	0.884
1725.000000	1.020
1750.000000	1.169
1775.000000	1.327
1800.000000	1.488
1825.000000	1.651
1850.000000	1.816
1875.000000	1.973
1900.000000	2.116
1925.000000	2.245
1950.000000	2.362
1975.000000	2.474
2000.000000	2.585
2030.000000	2.714
2060.000000	2.841
2090.000000	2.971
2120.000000	3.114
2140.000000	3.222
2180.000000	3.467
2200.000000	3.597
2240.000000	3.858
2270.000000	4.048
2300.000000	4.239
2330.000000	4.437
2360.000000	4.634
2400.000000	4.882
2430.000000	5.044
2470.000000	5.213
2500.000000	5.310
2540.000000	5.412
2580.000000	5.502
2620.000000	5.602
2650.000000	5.693
2690.000000	5.831
2720.000000	5.935
2760.000000	6.058
2800.000000	6.146
2850.000000	6.196
2900.000000	6.182
2950.000000	6.118
3000.000000	6.024
3040.000000	5.943
3070.000000	5.887
3110.000000	5.824
3150.000000	5.781
3200.000000	5.754
3250.000000	5.740
3300.000000	5.721
3350.000000	5.682
3400.000000	5.627
3450.000000	5.572
3500.000000	5.529
3550.000000	5.505
3600.000000	5.503
3650.000000	5.520
3700.000000	5.543
3750.000000	5.557
3820.000000	5.525
3870.000000	5.443
3950.000000	5.211
4000.000000	5.019
4060.000000	4.761
4120.000000	4.497
4180.000000	4.247
4250.000000	3.995
4310.000000	3.824
4370.000000	3.701
4440.000000	3.621
4500.000000	3.607
4550.000000	3.637
4620.000000	3.731
4680.000000	3.843
4750.000000	3.988
4820.000000	4.136
4870.000000	4.246
4940.000000	4.402
5000.000000	4.534
5080.000000	4.697
5150.000000	4.810
5220.000000	4.887
5300.000000	4.929
5380.000000	4.930
5450.000000	4.908
5520.000000	4.871
5600.000000	4.807
5700.000000	4.670
5800.000000	4.436
5900.000000	4.091
6000.000000	3.657
6080.000000	3.271
6150.000000	2.921
6220.000000	2.574
6300.000000	2.199
6400.000000	1.783
6500.000000	1.436
6600.000000	1.160
6700.000000	0.941
6800.000000	0.769
6900.000000	0.635
7000.000000	0.532
7100.000000	0.458
7200.000000	0.407
7300.000000	0.378
7400.000000	0.364
7500.000000	0.360
7620.000000	0.368
7750.000000	0.395
7880.000000	0.435
8000.000000	0.479
8120.000000	0.521
8250.000000	0.555
8380.000000	0.573
8500.000000	0.558
8620.000000	0.494
8750.000000	0.344
8850.000000	0.159
9000.000000	-0.235
9120.000000	-0.645
9250.000000	-1.174
9380.000000	-1.778
9500.000000	-2.385
9620.000000	-3.020
9750.000000	-3.699
9880.000000	-4.316
10000.000000	-4.793
10150.000000	-5.232
10300.000000	-5.473
10440.000000	-5.519
10600.000000	-5.367
10750.000000	-5.018
10900.000000	-4.474
11060.000000	-3.709
11200.000000	-2.924
11380.000000	-1.835
11500.000000	-1.113
11720.000000	0.091
11800.000000	0.456
12060.000000	1.326
12200.000000	1.564
12410.000000	1.610
12500.000000	1.532
12650.000000	1.280
12800.000000	0.893
13150.000000	-0.351
13200.000000	-0.553
13400.000000	-1.415
13600.000000	-2.309
13800.000000	-3.162
14000.000000	-3.873
14300.000000	-4.511
14500.000000	-4.596
14750.000000	-4.334
15000.000000	-3.792
15250.000000	-3.115
15500.000000	-2.417
15750.000000	-1.774
16000.000000	-1.221
16250.000000	-0.760
16500.000000	-0.378
16750.000000	-0.055
17000.000000	0.217
17250.000000	0.438
17500.000000	0.607
17750.000000	0.719
18000.000000	0.759
18250.000000	0.710
18500.000000	0.550
18750.000000	0.259
19000.000000	-0.180
19250.000000	-0.770
19500.000000	-1.509
19750.000000	-2.592
20000.000000	-5.246
