* Freq(Hz)	SPL(dB)	Phase(degrees)
170.000000	80.791	13.1958
172.500000	80.826	13.3610
175.000000	80.856	13.4798
177.500000	80.868	13.5706
180.000000	80.870	13.6753
182.500000	80.871	13.8176
185.000000	80.871	13.9993
187.500000	80.874	14.2147
190.000000	80.887	14.4392
192.500000	80.913	14.6405
195.000000	80.944	14.8065
197.500000	80.974	14.9371
200.000000	80.997	15.0371
203.000000	81.009	15.1416
206.000000	81.010	15.2706
209.000000	81.010	15.4456
212.000000	81.012	15.6660
214.000000	81.016	15.8303
218.000000	81.044	16.1530
220.000000	81.066	16.2928
224.000000	81.109	16.5238
227.000000	81.136	16.6602
230.000000	81.148	16.7837
233.000000	81.150	16.9289
236.000000	81.152	17.1104
240.000000	81.165	17.3920
243.000000	81.187	17.6023
247.000000	81.225	17.8475
250.000000	81.253	18.0040
254.000000	81.280	18.1915
258.000000	81.289	18.3882
262.000000	81.295	18.6286
265.000000	81.309	18.8268
269.000000	81.343	19.0755
272.000000	81.369	19.2464
276.000000	81.403	19.4562
280.000000	81.425	19.6509
285.000000	81.435	19.9205
290.000000	81.461	20.2266
295.000000	81.502	20.5292
300.000000	81.541	20.8202
304.000000	81.570	21.0345
307.000000	81.591	21.1801
311.000000	81.624	21.3575
315.000000	81.654	21.5328
320.000000	81.691	21.7507
325.000000	81.711	21.9748
330.000000	81.734	22.2184
335.000000	81.769	22.4686
340.000000	81.805	22.7224
345.000000	81.840	22.9730
350.000000	81.874	23.2041
355.000000	81.910	23.4244
360.000000	81.944	23.6482
365.000000	81.982	23.8685
370.000000	82.018	24.0699
375.000000	82.051	24.2631
382.000000	82.094	24.5521
387.000000	82.122	24.7759
395.000000	82.169	25.1525
400.000000	82.204	25.3895
406.000000	82.259	25.6604
412.000000	82.317	25.8959
418.000000	82.361	26.1118
425.000000	82.405	26.3736
431.000000	82.448	26.5997
437.000000	82.492	26.8301
444.000000	82.556	27.0909
450.000000	82.609	27.2916
455.000000	82.648	27.4482
462.000000	82.705	27.6541
468.000000	82.754	27.8187
475.000000	82.810	28.0049
482.000000	82.869	28.1758
487.000000	82.907	28.2875
494.000000	82.961	28.4409
500.000000	83.010	28.5599
508.000000	83.060	28.7305
515.000000	83.109	28.8972
522.000000	83.156	29.0623
530.000000	83.212	29.2576
538.000000	83.283	29.4430
545.000000	83.342	29.5785
552.000000	83.404	29.6880
560.000000	83.472	29.7816
570.000000	83.557	29.8548
580.000000	83.623	29.9223
590.000000	83.688	30.0019
600.000000	83.750	30.0888
608.000000	83.810	30.1526
615.000000	83.873	30.1811
622.000000	83.932	30.1734
630.000000	83.994	30.1334
640.000000	84.057	30.0591
650.000000	84.108	29.9742
660.000000	84.157	29.8890
670.000000	84.211	29.8057
680.000000	84.268	29.7046
690.000000	84.302	29.6038
700.000000	84.332	29.5215
710.000000	84.367	29.4274
720.000000	84.407	29.3125
730.000000	84.450	29.1762
740.000000	84.485	29.0070
750.000000	84.494	28.8282
762.000000	84.480	28.6730
775.000000	84.455	28.6187
788.000000	84.446	28.6428
800.000000	84.457	28.6734
812.000000	84.470	28.6881
825.000000	84.464	28.6949
838.000000	84.434	28.7284
850.000000	84.399	28.8121
862.000000	84.367	28.9644
875.000000	84.334	29.2064
885.000000	84.307	29.4335
900.000000	84.266	29.8258
912.000000	84.235	30.1906
925.000000	84.204	30.6473
938.000000	84.171	31.1694
950.000000	84.141	31.7081
962.000000	84.113	32.3039
975.000000	84.095	33.0157
988.000000	84.089	33.7818
1000.000000	84.090	34.5214
1015.000000	84.106	35.4749
1030.000000	84.140	36.4410
1044.000000	84.173	37.3612
1060.000000	84.228	38.4374
1075.000000	84.294	39.4330
1090.000000	84.372	40.4186
1106.000000	84.476	41.4537
1120.000000	84.573	42.3322
1138.000000	84.706	43.4199
1150.000000	84.808	44.1057
1172.000000	85.015	45.2710
1180.000000	85.098	45.6636
1206.000000	85.361	46.8222
1220.000000	85.501	47.3890
1241.000000	85.739	48.1312
1250.000000	85.844	48.4065
1265.000000	86.024	48.8044
1280.000000	86.218	49.1144
1315.000000	86.650	49.3989
1320.000000	86.710	49.3965
1340.000000	86.947	49.2901
1360.000000	87.158	49.0518
1380.000000	87.346	48.7260
1400.000000	87.510	48.3348
1430.000000	87.716	47.7141
1450.000000	87.831	47.3095
1475.000000	87.941	46.8613
1500.000000	88.028	46.5145
1525.000000	88.090	46.3108
1550.000000	88.151	46.2686
1575.000000	88.212	46.3676
1600.000000	88.278	46.6092
1625.000000	88.357	46.9710
1650.000000	88.451	47.4201
1675.000000	88.571	47.9175
1700.000000	88.718	48.4141
1725.000000	88.884	48.8679
1750.000000	89.065	49.2559
1775.000000	89.259	49.5563
1800.000000	89.456	49.7638
1825.000000	89.658	49.8838
1850.000000	89.869	49.9002
1875.000000	90.073	49.8195
1900.000000	90.263	49.6807
1925.000000	90.441	49.5108
1950.000000	90.606	49.3234
1975.000000	90.768	49.1384
2000.000000	90.934	48.9626
2030.000000	91.128	48.7786
2060.000000	91.320	48.6318
2090.000000	91.519	48.4982
2120.000000	91.724	48.3754
2140.000000	91.881	48.2788
2180.000000	92.226	47.9656
2200.000000	92.408	47.7284
2240.000000	92.771	47.0857
2270.000000	93.032	46.4671
2300.000000	93.297	45.7277
2330.000000	93.572	44.8420
2360.000000	93.849	43.8036
2400.000000	94.203	42.1983
2430.000000	94.443	40.8393
2470.000000	94.706	38.8953
2500.000000	94.868	37.4151
2540.000000	95.055	35.4779
2580.000000	95.218	33.5995
2620.000000	95.386	31.7518
2650.000000	95.527	30.3307
2690.000000	95.725	28.3224
2720.000000	95.868	26.7117
2760.000000	96.033	24.4183
2800.000000	96.148	21.9977
2850.000000	96.212	18.9131
2900.000000	96.190	15.9364
2950.000000	96.102	13.1978
3000.000000	95.968	10.7767
3040.000000	95.848	9.0914
3070.000000	95.758	7.9632
3110.000000	95.647	6.6055
3150.000000	95.553	5.3663
3200.000000	95.464	3.9014
3250.000000	95.385	2.4751
3300.000000	95.299	1.0839
3350.000000	95.188	-0.2514
3400.000000	95.055	-1.4697
3450.000000	94.925	-2.5388
3500.000000	94.813	-3.4893
3550.000000	94.718	-4.3620
3600.000000	94.653	-5.2282
3650.000000	94.611	-6.1729
3700.000000	94.578	-7.2417
3750.000000	94.541	-8.4416
3820.000000	94.439	-10.2801
3870.000000	94.305	-11.6030
3950.000000	93.989	-13.4852
4000.000000	93.747	-14.3914
4060.000000	93.435	-15.1175
4120.000000	93.125	-15.4215
4180.000000	92.836	-15.3296
4250.000000	92.551	-14.8086
4310.000000	92.359	-14.0875
4370.000000	92.223	-13.1953
4440.000000	92.136	-12.0686
4500.000000	92.120	-11.1233
4550.000000	92.155	-10.4161
4620.000000	92.263	-9.6436
4680.000000	92.392	-9.2266
4750.000000	92.555	-9.0375
4820.000000	92.717	-9.1433
4870.000000	92.840	-9.3969
4940.000000	93.015	-9.9906
5000.000000	93.164	-10.7099
5080.000000	93.353	-11.9595
5150.000000	93.486	-13.2995
5220.000000	93.580	-14.8097
5300.000000	93.637	-16.6571
5380.000000	93.649	-18.5697
5450.000000	93.638	-20.2874
5520.000000	93.612	-22.0585
5600.000000	93.566	-24.1480
5700.000000	93.453	-26.8319
5800.000000	93.233	-29.4892
5900.000000	92.892	-31.9118
6000.000000	92.459	-33.8790
6080.000000	92.073	-35.0266
6150.000000	91.724	-35.6806
6220.000000	91.377	-36.0082
6300.000000	91.005	-36.0235
6400.000000	90.596	-35.6107
6500.000000	90.259	-34.8577
6600.000000	89.997	-33.9226
6700.000000	89.789	-32.9335
6800.000000	89.625	-31.9531
6900.000000	89.500	-31.0169
7000.000000	89.404	-30.1431
7100.000000	89.337	-29.3504
7200.000000	89.293	-28.6583
7300.000000	89.271	-28.0715
7400.000000	89.264	-27.5946
7500.000000	89.265	-27.2301
7620.000000	89.277	-26.9396
7750.000000	89.312	-26.8246
7880.000000	89.357	-26.9339
8000.000000	89.410	-27.2598
8120.000000	89.459	-27.8377
8250.000000	89.499	-28.7463
8380.000000	89.526	-29.9669
8500.000000	89.522	-31.3790
8620.000000	89.469	-33.0171
8750.000000	89.327	-34.9410
8850.000000	89.146	-36.4426
9000.000000	88.749	-38.5604
9120.000000	88.334	-39.9845
9250.000000	87.800	-41.0804
9380.000000	87.188	-41.5532
9500.000000	86.575	-41.3282
9620.000000	85.925	-40.3674
9750.000000	85.231	-38.4002
9880.000000	84.612	-35.4936
10000.000000	84.136	-32.0850
10150.000000	83.700	-27.0644
10300.000000	83.471	-21.5292
10440.000000	83.428	-16.1906
10600.000000	83.573	-10.1526
10750.000000	83.914	-4.8487
10900.000000	84.451	-0.2148
11060.000000	85.216	3.6225
11200.000000	86.005	5.8033
11380.000000	87.116	6.8014
11500.000000	87.864	6.3512
11720.000000	89.129	3.4500
11800.000000	89.516	1.8576
12060.000000	90.424	-4.6449
12200.000000	90.672	-8.6416
12410.000000	90.711	-14.7444
12500.000000	90.627	-17.2726
12650.000000	90.361	-21.2278
12800.000000	89.963	-24.7418
13150.000000	88.688	-30.5675
13200.000000	88.477	-31.0806
13400.000000	87.591	-32.2273
13600.000000	86.679	-31.8504
13800.000000	85.805	-29.8811
14000.000000	85.082	-26.4139
14300.000000	84.444	-19.2264
14500.000000	84.374	-13.9614
14750.000000	84.652	-7.9893
15000.000000	85.216	-3.4113
15250.000000	85.914	-0.5038
15500.000000	86.631	0.8753
15750.000000	87.291	1.0278
16000.000000	87.849	0.3214
16250.000000	88.314	-0.9637
16500.000000	88.694	-2.6542
16750.000000	89.020	-4.6295
17000.000000	89.295	-6.8440
17250.000000	89.519	-9.2872
17500.000000	89.692	-11.9661
17750.000000	89.810	-14.8787
18000.000000	89.859	-17.9861
18250.000000	89.818	-21.2196
18500.000000	89.663	-24.4707
18750.000000	89.374	-27.5566
19000.000000	88.931	-30.2182
19250.000000	88.318	-32.1206
19500.000000	87.580	-32.9768
19750.000000	86.829	-32.6847
20000.000000	86.185	-31.3330
