* Freq(Hz)	SPL(dB)
1900.000000	0.444
1925.000000	0.455
1950.000000	0.466
1975.000000	0.478
2000.000000	0.490
2030.000000	0.503
2060.000000	0.517
2090.000000	0.531
2120.000000	0.544
2140.000000	0.552
2180.000000	0.568
2200.000000	0.576
2240.000000	0.590
2270.000000	0.599
2300.000000	0.607
2330.000000	0.614
2360.000000	0.619
2400.000000	0.624
2430.000000	0.625
2470.000000	0.624
2500.000000	0.622
2540.000000	0.615
2580.000000	0.605
2620.000000	0.592
2650.000000	0.580
2690.000000	0.561
2720.000000	0.545
2760.000000	0.520
2800.000000	0.493
2850.000000	0.456
2900.000000	0.415
2950.000000	0.370
3000.000000	0.323
3040.000000	0.283
3070.000000	0.253
3110.000000	0.211
3150.000000	0.169
3200.000000	0.115
3250.000000	0.061
3300.000000	0.006
3350.000000	-0.048
3400.000000	-0.101
3450.000000	-0.152
3500.000000	-0.202
3550.000000	-0.250
3600.000000	-0.294
3650.000000	-0.335
3700.000000	-0.373
3750.000000	-0.406
3820.000000	-0.446
3870.000000	-0.469
3950.000000	-0.497
4000.000000	-0.509
4060.000000	-0.518
4120.000000	-0.522
4180.000000	-0.522
4250.000000	-0.516
4310.000000	-0.508
4370.000000	-0.498
4440.000000	-0.483
4500.000000	-0.469
4550.000000	-0.457
4620.000000	-0.439
4680.000000	-0.424
4750.000000	-0.406
4820.000000	-0.389
4870.000000	-0.377
4940.000000	-0.361
5000.000000	-0.348
5080.000000	-0.331
5150.000000	-0.318
5220.000000	-0.305
5300.000000	-0.292
5380.000000	-0.279
5450.000000	-0.269
5520.000000	-0.258
5600.000000	-0.247
5700.000000	-0.233
5800.000000	-0.220
5900.000000	-0.205
6000.000000	-0.191
6080.000000	-0.178
6150.000000	-0.166
6220.000000	-0.153
6300.000000	-0.138
6400.000000	-0.116
6500.000000	-0.092
6600.000000	-0.066
6700.000000	-0.036
6800.000000	-0.004
6900.000000	0.030
7000.000000	0.066
7100.000000	0.103
7200.000000	0.140
7300.000000	0.174
7400.000000	0.205
7500.000000	0.230
7620.000000	0.250
7750.000000	0.256
7880.000000	0.240
8000.000000	0.206
8120.000000	0.151
8250.000000	0.068
8380.000000	-0.040
8500.000000	-0.159
8620.000000	-0.295
8750.000000	-0.460
8850.000000	-0.597
9000.000000	-0.818
9120.000000	-1.006
9250.000000	-1.220
9380.000000	-1.443
9500.000000	-1.658
9620.000000	-1.881
9750.000000	-2.133
9880.000000	-2.394
10000.000000	-2.645
10150.000000	-2.972
10300.000000	-3.313
10440.000000	-3.643
10600.000000	-4.029
10750.000000	-4.394
10900.000000	-4.751
11060.000000	-5.109
11200.000000	-5.385
11380.000000	-5.657
11500.000000	-5.768
11720.000000	-5.793
11800.000000	-5.741
12060.000000	-5.367
12200.000000	-5.060
12410.000000	-4.514
12500.000000	-4.261
12650.000000	-3.829
12800.000000	-3.396
13150.000000	-2.427
13200.000000	-2.296
13400.000000	-1.793
13600.000000	-1.328
13800.000000	-0.899
14000.000000	-0.506
14300.000000	0.023
14500.000000	0.337
14750.000000	0.693
15000.000000	1.010
15250.000000	1.293
15500.000000	1.547
15750.000000	1.773
16000.000000	1.976
16250.000000	2.157
16500.000000	2.319
16750.000000	2.462
17000.000000	2.589
17250.000000	2.701
17500.000000	2.796
17750.000000	2.877
18000.000000	2.943
18250.000000	2.994
18500.000000	3.031
18750.000000	3.055
19000.000000	3.069
19250.000000	3.076
19500.000000	3.078
19750.000000	3.079
20000.000000	3.079
