* Freq(Hz)	SPL(dB)
370.000000	0.300
375.000000	0.320
382.000000	0.349
387.000000	0.370
395.000000	0.404
400.000000	0.425
406.000000	0.450
412.000000	0.476
418.000000	0.501
425.000000	0.530
431.000000	0.554
437.000000	0.579
444.000000	0.607
450.000000	0.631
455.000000	0.651
462.000000	0.678
468.000000	0.701
475.000000	0.728
482.000000	0.754
487.000000	0.772
494.000000	0.797
500.000000	0.818
508.000000	0.846
515.000000	0.869
522.000000	0.892
530.000000	0.916
538.000000	0.940
545.000000	0.959
552.000000	0.977
560.000000	0.995
570.000000	1.014
580.000000	1.027
590.000000	1.035
600.000000	1.035
608.000000	1.030
615.000000	1.021
622.000000	1.009
630.000000	0.991
640.000000	0.963
650.000000	0.929
660.000000	0.891
670.000000	0.850
680.000000	0.806
690.000000	0.762
700.000000	0.718
710.000000	0.675
720.000000	0.634
730.000000	0.596
740.000000	0.562
750.000000	0.532
762.000000	0.501
775.000000	0.474
788.000000	0.455
800.000000	0.444
812.000000	0.439
825.000000	0.441
838.000000	0.451
850.000000	0.465
862.000000	0.486
875.000000	0.513
885.000000	0.539
900.000000	0.583
912.000000	0.624
925.000000	0.675
938.000000	0.733
950.000000	0.793
962.000000	0.859
975.000000	0.938
988.000000	1.025
1000.000000	1.112
1015.000000	1.230
1030.000000	1.356
1044.000000	1.481
1060.000000	1.628
1075.000000	1.768
1090.000000	1.908
1106.000000	2.054
1120.000000	2.178
1138.000000	2.331
1150.000000	2.428
1172.000000	2.598
1180.000000	2.658
1206.000000	2.843
1220.000000	2.938
1241.000000	3.077
1250.000000	3.135
1265.000000	3.229
1280.000000	3.320
1315.000000	3.525
1320.000000	3.553
1340.000000	3.664
1360.000000	3.772
1380.000000	3.877
1400.000000	3.979
1430.000000	4.127
1450.000000	4.224
1475.000000	4.343
1500.000000	4.462
1525.000000	4.581
1550.000000	4.701
1575.000000	4.822
1600.000000	4.942
1625.000000	5.063
1650.000000	5.185
1675.000000	5.308
1700.000000	5.433
1725.000000	5.560
1750.000000	5.689
1775.000000	5.823
1800.000000	5.959
1825.000000	6.100
1850.000000	6.244
1875.000000	6.393
1900.000000	6.545
1925.000000	6.700
1950.000000	6.860
1975.000000	7.024
2000.000000	7.192
2030.000000	7.399
2060.000000	7.612
2090.000000	7.831
2120.000000	8.054
2140.000000	8.205
2180.000000	8.509
2200.000000	8.661
2240.000000	8.963
2270.000000	9.185
2300.000000	9.403
2330.000000	9.614
2360.000000	9.819
2400.000000	10.081
2430.000000	10.267
2470.000000	10.503
2500.000000	10.671
2540.000000	10.882
2580.000000	11.080
2620.000000	11.265
2650.000000	11.396
2690.000000	11.559
2720.000000	11.673
2760.000000	11.813
2800.000000	11.938
2850.000000	12.075
2900.000000	12.191
2950.000000	12.284
3000.000000	12.359
3040.000000	12.406
3070.000000	12.433
3110.000000	12.460
3150.000000	12.476
3200.000000	12.483
3250.000000	12.473
3300.000000	12.450
3350.000000	12.412
3400.000000	12.361
3450.000000	12.299
3500.000000	12.227
3550.000000	12.145
3600.000000	12.056
3650.000000	11.960
3700.000000	11.857
3750.000000	11.746
3820.000000	11.583
3870.000000	11.462
3950.000000	11.263
4000.000000	11.137
4060.000000	10.985
4120.000000	10.836
4180.000000	10.691
4250.000000	10.531
4310.000000	10.404
4370.000000	10.287
4440.000000	10.165
4500.000000	10.072
4550.000000	10.005
4620.000000	9.921
4680.000000	9.857
4750.000000	9.787
4820.000000	9.719
4870.000000	9.669
4940.000000	9.593
5000.000000	9.522
5080.000000	9.417
5150.000000	9.314
5220.000000	9.204
5300.000000	9.069
5380.000000	8.926
5450.000000	8.798
5520.000000	8.667
5600.000000	8.517
5700.000000	8.332
5800.000000	8.151
5900.000000	7.978
6000.000000	7.816
6080.000000	7.695
6150.000000	7.597
6220.000000	7.505
6300.000000	7.410
6400.000000	7.305
6500.000000	7.213
6600.000000	7.135
6700.000000	7.069
6800.000000	7.013
6900.000000	6.965
7000.000000	6.922
7100.000000	6.881
7200.000000	6.840
7300.000000	6.797
7400.000000	6.748
7500.000000	6.693
7620.000000	6.615
7750.000000	6.515
7880.000000	6.397
8000.000000	6.271
8120.000000	6.125
8250.000000	5.945
8380.000000	5.743
8500.000000	5.536
8620.000000	5.312
8750.000000	5.052
8850.000000	4.845
9000.000000	4.531
9120.000000	4.287
9250.000000	4.040
9380.000000	3.822
9500.000000	3.653
9620.000000	3.518
9750.000000	3.413
9880.000000	3.354
10000.000000	3.346
10150.000000	3.399
10300.000000	3.513
10440.000000	3.651
10600.000000	3.791
10750.000000	3.845
10900.000000	3.785
11060.000000	3.601
11200.000000	3.370
11380.000000	3.034
11500.000000	2.810
11720.000000	2.409
11800.000000	2.262
12060.000000	1.781
12200.000000	1.530
12410.000000	1.180
12500.000000	1.043
12650.000000	0.829
12800.000000	0.632
13150.000000	0.204
13200.000000	0.144
13400.000000	-0.103
13600.000000	-0.368
13800.000000	-0.659
14000.000000	-0.978
14300.000000	-1.498
14500.000000	-1.857
14750.000000	-2.298
15000.000000	-2.699
15250.000000	-3.028
15500.000000	-3.263
15750.000000	-3.399
16000.000000	-3.441
16250.000000	-3.405
16500.000000	-3.309
16750.000000	-3.174
17000.000000	-3.014
17250.000000	-2.845
17500.000000	-2.678
17750.000000	-2.528
18000.000000	-2.410
18250.000000	-2.339
18500.000000	-2.325
18750.000000	-2.375
19000.000000	-2.488
19250.000000	-2.672
19500.000000	-3.016
19750.000000	-3.775
20000.000000	-5.014
