* Freq(Hz)	SPL(dB)
11380.000000	4.139
11500.000000	4.136
11720.000000	3.963
11800.000000	3.840
12060.000000	3.249
12200.000000	2.830
12410.000000	2.110
12500.000000	1.782
12650.000000	1.222
12800.000000	0.660
13150.000000	-0.613
13200.000000	-0.788
13400.000000	-1.465
13600.000000	-2.102
13800.000000	-2.702
14000.000000	-3.266
14300.000000	-4.047
14500.000000	-4.527
14750.000000	-5.083
15000.000000	-5.595
15250.000000	-6.072
15500.000000	-6.517
15750.000000	-6.932
16000.000000	-7.319
16250.000000	-7.681
16500.000000	-8.019
16750.000000	-8.336
17000.000000	-8.634
17250.000000	-8.914
17500.000000	-9.174
17750.000000	-9.417
18000.000000	-9.642
18250.000000	-9.851
18500.000000	-10.043
18750.000000	-10.220
19000.000000	-10.386
19250.000000	-10.548
19500.000000	-10.756
19750.000000	-11.333
20000.000000	-13.713
